ebn0, sigma_ratio, t0, t1, t2, llr0, llr1, llr2, llr3, capacity
0.000000, 0.000000, -0.397500, 0.000000, 0.397500, 5.279469, 1.332746, -1.332746, -5.279469, 0.867309
0.000000, 1.000000, -0.397500, 0.000000, 0.397500, 5.279469, 1.332746, -1.332746, -5.279469, 0.867309
0.500000, 0.000000, -0.367500, 0.000000, 0.367500, 5.591708, 1.385196, -1.385196, -5.591708, 0.894961
0.500000, 1.000000, -0.367500, 0.000000, 0.367500, 5.591708, 1.385196, -1.385196, -5.591708, 0.894961
1.000000, 0.000000, -0.345000, 0.000000, 0.345000, 5.962541, 1.459980, -1.459980, -5.962541, 0.919060
1.000000, 1.000000, -0.345000, 0.000000, 0.345000, 5.962541, 1.459980, -1.459980, -5.962541, 0.919060
1.500000, 0.000000, -0.315000, 0.000000, 0.315000, 6.303901, 1.499892, -1.499892, -6.303901, 0.939477
1.500000, 1.000000, -0.315000, 0.000000, 0.315000, 6.303901, 1.499892, -1.499892, -6.303901, 0.939477
2.000000, 0.000000, -0.292500, 0.000000, 0.292500, 6.714612, 1.564906, -1.564906, -6.714612, 0.956242
2.000000, 1.000000, -0.292500, 0.000000, 0.292500, 6.714612, 1.564906, -1.564906, -6.714612, 0.956242
2.500000, 0.000000, -0.277500, 0.000000, 0.277500, 7.212813, 1.665521, -1.665521, -7.212813, 0.969531
2.500000, 1.000000, -0.277500, 0.000000, 0.277500, 7.212813, 1.665521, -1.665521, -7.212813, 0.969531
3.000000, 0.000000, -0.255000, 0.000000, 0.255000, 7.680406, 1.720871, -1.720871, -7.680406, 0.979659
3.000000, 1.000000, -0.255000, 0.000000, 0.255000, 7.680406, 1.720871, -1.720871, -7.680406, 0.979659
3.500000, 0.000000, -0.232500, 0.000000, 0.232500, 8.176349, 1.764911, -1.764911, -8.176349, 0.987044
3.500000, 1.000000, -0.232500, 0.000000, 0.232500, 8.176349, 1.764911, -1.764911, -8.176349, 0.987044
4.000000, 0.000000, -0.217500, 0.000000, 0.217500, 8.787755, 1.853943, -1.853943, -8.787755, 0.992173
4.000000, 1.000000, -0.217500, 0.000000, 0.217500, 8.787755, 1.853943, -1.853943, -8.787755, 0.992173
4.500000, 0.000000, -0.202500, 0.000000, 0.202500, 9.449215, 1.938755, -1.938755, -9.449215, 0.995542
4.500000, 1.000000, -0.202500, 0.000000, 0.202500, 9.449215, 1.938755, -1.938755, -9.449215, 0.995542
5.000000, 0.000000, -0.187500, 0.000000, 0.187500, 10.165432, 2.016917, -2.016917, -10.165432, 0.997624
5.000000, 1.000000, -0.187500, 0.000000, 0.187500, 10.165432, 2.016917, -2.016917, -10.165432, 0.997624
5.500000, 0.000000, -0.172500, 0.000000, 0.172500, 10.941472, 2.085427, -2.085427, -10.941472, 0.998824
5.500000, 1.000000, -0.172500, 0.000000, 0.172500, 10.941472, 2.085427, -2.085427, -10.941472, 0.998824
6.000000, 0.000000, -0.157500, 0.000000, 0.157500, 11.782751, 2.140600, -2.140600, -11.782751, 0.999464
6.000000, 1.000000, -0.157500, 0.000000, 0.157500, 11.782751, 2.140600, -2.140600, -11.782751, 0.999464
6.500000, 0.000000, -0.150000, 0.000000, 0.150000, 12.835675, 2.286939, -2.286939, -12.835675, 0.999778
6.500000, 1.000000, -0.150000, 0.000000, 0.150000, 12.835675, 2.286939, -2.286939, -12.835675, 0.999778
7.000000, 0.000000, -0.135000, 0.000000, 0.135000, 13.839646, 2.315195, -2.315195, -13.839646, 0.999917
7.000000, 1.000000, -0.135000, 0.000000, 0.135000, 13.839646, 2.315195, -2.315195, -13.839646, 0.999917
7.500000, 0.000000, -0.127500, 0.000000, 0.127500, 15.101125, 2.453906, -2.453906, -15.101125, 0.999972
7.500000, 1.000000, -0.127500, 0.000000, 0.127500, 15.101125, 2.453906, -2.453906, -15.101125, 0.999972
8.000000, 0.000000, -0.120000, 0.000000, 0.120000, 16.491771, 2.592375, -2.592375, -16.491771, 0.999992
8.000000, 1.000000, -0.120000, 0.000000, 0.120000, 16.491771, 2.592375, -2.592375, -16.491771, 0.999992
8.500000, 0.000000, -0.105000, 0.000000, 0.105000, 17.812312, 2.553549, -2.553549, -17.812312, 0.999998
8.500000, 1.000000, -0.105000, 0.000000, 0.105000, 17.812312, 2.553549, -2.553549, -17.812312, 0.999998
9.000000, 0.000000, -0.097500, 0.000000, 0.097500, 19.479649, 2.662686, -2.662686, -19.479649, 1.000000
9.000000, 1.000000, -0.097500, 0.000000, 0.097500, 19.479649, 2.662686, -2.662686, -19.479649, 1.000000
9.500000, 0.000000, -0.090000, 0.000000, 0.090000, 21.318453, 2.760549, -2.760549, -21.318453, 1.000000
9.500000, 1.000000, -0.090000, 0.000000, 0.090000, 21.318453, 2.760549, -2.760549, -21.318453, 1.000000
